Link Road,Detector_Name,Id,Name,Description,Longitude,Latitude,Status,Direction
A30,6179/1,9007,TMU Site 6179/1 on link A30 westbound between A308 and M25; GPS Ref: 503846;172236; Westbound,6179/1,-0.507284948,51.43961039,Active,Westbound
A3113,7044/1,9368,TMU Site 7044/1 on A3113 eastbound between M25 and A3044; GPS Ref: 504388;175287; Eastbound,7044/1,-0.498590705,51.46693541,Active,Eastbound
A3113,7045/1,9369,TMU Site 7045/1 on A3113 westbound between A3044 and M25; GPS Ref: 504384;175271; Westbound,7045/1,-0.498652988,51.46679233,Active,Westbound
M4 J2-3,M4/2156A,6222,MIDAS site at M4/2156A priority 1 on link 125039601; GPS Ref: 516358;178416; Westbound,M4/2156A,-0.32531212,51.49272538,Active,Westbound
M4 J2-3,M4/2168A,2316,MIDAS site at M4/2168A priority 1 on link 123012302; GPS Ref: 515032;178680; Westbound,M4/2168A,-0.344317875,51.49536925,Active,Westbound
M4 J2-3,M4/2178A,3678,MIDAS site at M4/2178A priority 1 on link 123012302; GPS Ref: 514047;178404; Westbound,M4/2178A,-0.358589977,51.49308791,Active,Westbound
M4 J2-3,M4/2188A,236,MIDAS site at M4/2188A priority 1 on link 123012302; GPS Ref: 513289;178010; Westbound,M4/2188A,-0.369630212,51.48969885,Active,Westbound
M4 J2-3,M4/2193A,345,MIDAS site at M4/2193A priority 3 on link 123012302; GPS Ref: 512897;177927; Westbound,M4/2193A,-0.375300441,51.4890312,Active,Westbound
M4 J2-3,M4/2200A,2747,MIDAS site at M4/2200A priority 1 on link 123012302; GPS Ref: 512266;177775; Westbound,M4/2200A,-0.384433269,51.48779064,Active,Westbound
M4 J2-3,M4/2206A,4496,MIDAS site at M4/2206A priority 2 on link 123012401; GPS Ref: 511693;177809; Westbound,M4/2206A,-0.392671949,51.48820962,Active,Westbound
M4 J2-3,M4/2210A,2598,MIDAS site at M4/2210A priority 1 on link 199128802; GPS Ref: 511258;177968; Westbound,M4/2210A,-0.398884675,51.48972442,Active,Westbound
M4 J2-3,M4/2156B,6209,MIDAS site at M4/2156B priority 1 on link 200127245; GPS Ref: 516367;178428; Eastbound,M4/2156B,-0.325178584,51.49283138,Active,Eastbound
M4 J2-3,M4/2162B,949,MIDAS site at M4/2162B priority 1 on link 200127243; GPS Ref: 515638;178759; Eastbound,M4/2162B,-0.335566303,51.49595579,Active,Eastbound
